time,proximity sensor 0,proximity sensor 7,
0.032000,3835.000000,3832.000000,
0.064000,3806.000000,3827.000000,
0.096000,3735.000000,3749.000000,
0.128000,2530.000000,2166.000000,
0.160000,1930.000000,1866.000000,
0.192000,1329.000000,1110.000000,
0.224000,861.000000,785.000000,
0.256000,688.000000,610.000000,
0.288000,535.000000,445.000000,
0.320000,342.000000,380.000000,
0.352000,339.000000,311.000000,
0.384000,246.000000,271.000000,
0.416000,270.000000,214.000000,
0.448000,205.000000,209.000000,
0.480000,149.000000,173.000000,
0.512000,144.000000,159.000000,
0.544000,149.000000,113.000000,
0.576000,158.000000,103.000000,
0.608000,123.000000,105.000000,
0.640000,125.000000,115.000000,
0.672000,99.000000,109.000000,
0.704000,88.000000,81.000000,
0.736000,105.000000,83.000000,
0.768000,96.000000,78.000000,
0.800000,58.000000,87.000000,
0.832000,55.000000,95.000000,
0.864000,80.000000,79.000000,
0.896000,75.000000,80.000000,
0.928000,69.000000,62.000000,
0.960000,97.000000,64.000000,
0.992000,62.000000,75.000000,
1.024000,67.000000,69.000000,
1.056000,68.000000,73.000000,
1.088000,80.000000,75.000000,
1.120000,84.000000,62.000000,
1.152000,75.000000,57.000000,
1.184000,61.000000,66.000000,
1.216000,70.000000,69.000000,
1.248000,71.000000,51.000000,
1.280000,78.000000,55.000000,
1.312000,56.000000,58.000000,
1.344000,62.000000,70.000000,
1.376000,68.000000,61.000000,
1.408000,51.000000,61.000000,
1.440000,73.000000,58.000000,
1.472000,85.000000,72.000000,
1.504000,54.000000,74.000000,
1.536000,85.000000,67.000000,
1.568000,76.000000,46.000000,
1.600000,71.000000,56.000000,
1.632000,25.000000,57.000000,
1.664000,54.000000,64.000000,
1.696000,66.000000,53.000000,
1.728000,65.000000,58.000000,
1.760000,54.000000,45.000000,
1.792000,45.000000,56.000000,
1.824000,37.000000,55.000000,
1.856000,93.000000,59.000000,
1.888000,52.000000,58.000000,
1.920000,49.000000,47.000000,
1.952000,68.000000,54.000000,
1.984000,54.000000,60.000000,
2.016000,52.000000,72.000000,
2.048000,47.000000,60.000000,
2.080000,47.000000,36.000000,
2.112000,65.000000,50.000000,
2.144000,67.000000,38.000000,
2.176000,53.000000,46.000000,
2.208000,54.000000,50.000000,
2.240000,58.000000,54.000000,
2.272000,65.000000,61.000000,
2.304000,66.000000,44.000000,
2.336000,53.000000,60.000000,
2.368000,75.000000,61.000000,
2.400000,83.000000,58.000000,
2.432000,58.000000,48.000000,
2.464000,85.000000,44.000000,
2.496000,49.000000,64.000000,
2.528000,62.000000,57.000000,
2.560000,46.000000,60.000000,
2.592000,54.000000,54.000000,
2.624000,52.000000,51.000000,
2.656000,67.000000,46.000000,
2.688000,88.000000,43.000000,
2.720000,64.000000,57.000000,
2.752000,44.000000,58.000000,
2.784000,82.000000,51.000000,
2.816000,60.000000,50.000000,
2.848000,47.000000,43.000000,
2.880000,57.000000,52.000000,
2.912000,56.000000,61.000000,
2.944000,44.000000,59.000000,
2.976000,87.000000,40.000000,
3.008000,63.000000,43.000000,
